,,Favorable,Unfavorable,No Opinion
Pope Francis,"Feb 6-9,2014",76,9,16
Pope Francis,"Apr 11-14,2013",58,10,31
Pope Benedict XVI,"Mar 26-28,2010",40,35,25
Pope Benedict XVI,"Apr 18-20,2008",63,15,22
Pope Benedict XVI,"Jun 1-3,2007 ",52,16,32
Pope Benedict XVI,"Dec 16-18,2005",50,11,39
Pope Benedict XVI,"Apr 29-May,2005",55,12,33
Pope John Paul II,"Feb 25-27,2005",78,11,11
Pope John Paul II,"Oct 6-8,2003",73,17,10
Pope John Paul II,"Apr 29-May 1,2002",61,26,13
Pope John Paul II,"Dec 28-29,1998",86,8,6
Pope John Paul II,"Aug 8-10,1993",64,15,21
